status,google_file_id,source_path,mayan_document_id,error_message
uploaded,14VNgopDxFEmB6LkBIh8b2TMnWQdB_V3N,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Copy of whole base document_.docx,217,
uploaded,1a7DDYU5qrh5KOxpuySPotU8Hha1NhtxK,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Copy of How do i prevent unnecessary check upon.docx,218,
uploaded,12wfkeq_YO_5MT2d5Bsa0UpSlfmC8of34,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Patient safety related articles_.docx,219,
uploaded,18DK9ZztPS8F9_fCPDZQlgbKuBascn0C_,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Copy of How can patients help prevent errors in diagnosis CHAT GPT 18.04.23.docx,220,
uploaded,1BTrrWJwRxh87cA614Te6z4cHGRgz6CZg,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3. Doctors Visit/Copy of Preparation for doctors vizit 26.06.23.docx,221,
uploaded,1ztJs5tTYSoj8xIR64nU8gBtJPpEjlVfS,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3b.4 Find a way to hospital and sign of emergence/Which hospital to go in emergency 15.05.23.docx,222,
uploaded,1brnS8KxQRvZTq_d26UaVk9IArCHYqloJ,"PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3b.4 Find a way to hospital and sign of emergence/Ten Top Emergencies, how to identify and respond ChatGPT 15.05.23.docx",223,
uploaded,1DTQgmN6mIBfh29CdHXqnXpLyzzRcjbg8,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3b.6 Special Facilities for Patients with Disability/Early detection of abnormalities ChatGPT 18.05.23.docx,224,
uploaded,1WF6Zcf9qzFs1IPeJkdqgtcbfQSYhJgpC,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3a.5 Understanding the treatment plan/Understanding my treatment plan ChatGPT 13.05.23.docx,225,
uploaded,1rPMymiTEIjJsIpx18AybfxI1UUaukIry,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/3a.4 Second Opinion/Second opinion 13.05.23.docx,226,
uploaded,1JmJIrRypQciiOHPVJd1yH8qHGVlG3K51,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/whole base document_.docx,227,
uploaded,17nfkLnK2jSNwMEC7bLAm8jWXmZ1pNBuF,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/Preparation for doctors vizit 26.06.23.docx,228,
uploaded,1O0QG2CVSwGDg8lamXkd-nuNP0oAIk-Lv,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/Second Opinion CHAT GPT 13.05.23.docx,229,
uploaded,1pYRRgo8wp0HtNo1geIxWwqBqjJWQMyEv,"PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/How can i understand treatment plan , what should i ask doctor.docx",230,
uploaded,1M6sgI0-NnGkiHfjcIa1q-HO7aKKYjZtl,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/AK Base Doc.docx,231,
uploaded,13CutTUPBqPyCGZ4OKLV92SngCdoKVTiA,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/How do i prevent unnecessary check upon.docx,232,
uploaded,1NykRi4T0U1GbqwDO7o-NH19UHbGNM7fJ,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/References LINK.docx,233,
uploaded,17ymSddMwQOcVPDeXPtfvwBK8PiXfoW6A,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/Understanding my treatment plan ChatGPT 13.05.23.docx,234,
uploaded,1IlgplHWW_frqGVU4WZe7b9H-hB7J2ZRJ,PFPSF/3-PREPARATION FOR DOCTOR_S VISIT-20260521T050131Z-3-001/Base Doc/Base doc Preventing errors_.docx,235,
uploaded,1JvhCi3WLqYORZgITvlIta2lR6LbJHoIK,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Emailers/pfah_wa_en_4b_v1 - Preventing falls at home .docx,236,
uploaded,1OI9j_I-sUFUJ5SrH7czixH3oPPuEd0lK,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Emailers/pfih_wa_en_4a_v1 - Preventing falls at hospital.docx,237,
uploaded,1G4tNPyTno1X12RhdGXqV5_c1JizWuOvS,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/Apollo posters/Copy of Bilingual Patient and Family Education Form_Qualitinomics.jpg,238,
uploaded,1GSpNV-I7FTkH4FrIyCImh61WFu_8yQVV,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/Apollo posters/Copy of Washroom Education Tool 1.jpg,239,
uploaded,1owHAs4Jri9YoKgoxYwWiXvsB_6nJZXhR,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/Apollo posters/Copy of Bilingual Education Tool – Falls Prevention 1.jpg,240,
uploaded,1sDE_M2Um_fklqW5Oektwiq2AQoc9Ha9L,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/Apollo posters/Copy of Washroom Education Tool 2.jpg,241,
uploaded,1GLMki5lQ4DL0VmwW2N0lSUGzItxhUV-W,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/Apollo posters/Copy of Bilingual Education Tool – Falls Prevention.jpg,242,
uploaded,1dVk2GvwU7ejWtzGjMgk--Y3D6PEI4HcR,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/pfah_po_en_4b_v1-Prevent Falls at Home.jpg,243,
uploaded,1o10_BwFQhxICcDPL_p30GHMN1GEDczE6,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/Infographics/pfih_po_en_4a_v1-How can Patients prevent falls in Hospital.jpg,244,
uploaded,1WzKZEh5c1xvmGB0yk9TGGQ-uGgnOkoxo,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/BASE DOCUMENT/Bse doc falls at home_.docx,245,
uploaded,1_vmleo_icNk1qvi1OA9fQ3M5gD1rp6ht,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/BASE DOCUMENT/Copy of Patients Preventing falls at hospital and at home 18.04.23.docx,246,
uploaded,1nN1ZiHkYakvHwgNCt7csWx7gdkODOZ_8,PFPSF/4-Preventing Falls-20260521T050134Z-3-001/BASE DOCUMENT/Whole Base documents for Falls.docx,247,
